Reviewer Name,Rating,Review,Date,Review_english
Paul Abbott,5 étoiles,It's a Timmies so what can you really say that everyone doesn't already expect but the staff were friendly even though I spoke English.,il y a 10 mois,its a timmies so what can you really say that everyone doesnt already expect but the staff were friendly even though i spoke english
A,2 étoiles,ils m’ont pas mis la whipped cream que j’ai payé pour,il y a 7 mois,They didn't put the whipped cream on me that I paid for
Les As Éboueurs Inc,1 étoile,Ce matin on est plusieurs à avoir vu une coquerelle dans le présentoir à verres. Endroit malpropre. Personne ne parle/comprend le français.,il y a un an,"This morning, several of us saw a cockroach in the glass display, messy place, no one speaks, understands French"
christine K.,5 étoiles,Staffs are friendly. Chai tea is good.,il y a un an,staffs are friendly chai tea is good
Mathis Gautreau,1 étoile,"Nothing is good! The service is disaster, they mixed the orders, it's served cold, waitresses are not polite and not professional! Do not go there!!",il y a un an,nothing is good the service is disaster they mixed the orders its served cold waitresses are not polite and not professional do not go there
Andrew Cameron,5 étoiles,"Hate to admit it, but Tim Hortons is better than any coffee chains we have in the US. Solid coffee, but what I found extra special is that they’re donuts tasted very fresh even well past peak hours.",il y a 3 ans,hate to admit it but tim hortons is better than any coffee chains we have in the us solid coffee but what i found extra special is that theyre donuts tasted very fresh even well past peak hours
JOSE RAFAEL RIVAS TRIGO,5 étoiles,"Very good cafetería
Good prices
A lot of sweets and snacks and soups",il y a 7 mois,"very good cafetería
good prices
a lot of sweets and snacks and soups"
Michel Gagnon,4 étoiles,"Service rapide courtois et de bon goût. Toujours apprécier pour repas léger ou pour emporter. Déception,  jet de noisettes ne sont plus disponible sur le marché des Tim Horton's 's . Bien dommage car j' en appréciais biem toute la saveur .",il y a 7 ans,"fast, courteous and tasteful service always appreciated for a light meal or to take away disappointment jet of hazelnuts are no longer available on the tim hortons market, a shame because I really appreciated all the flavor"
Venita S,5 étoiles,We had our first quick breakfast here in Montreal. The staff was very friendly and made our start of the day amazing 😊 we enjoyed our breakfast. There are seating areas and a washroom as well. It also has a nice streeview and was located a mins walk away from our hotel- perfect location.…,il y a 6 ans,we had our first quick breakfast here in montreal the staff was very friendly and made our start of the day amazing  we enjoyed our breakfast there are seating areas and a washroom as well it also has a nice streeview and was located a mins walk away from our hotel perfect location
Fatima Parveen,1 étoile,"ZERO, if possible... we visited this place, tired from toronto. Cashier Priyanka was rude and arrogant. didnt give us full order (we realized it after opening the package, after leaving)…",il y a 2 ans,zero if possible we visited this place tired from toronto cashier priyanka was rude and arrogant didnt give us full order we realized it after opening the package after leaving
Nicolas TAFZI,1 étoile,"Tim Hortons ou les employés vous font payer des supplément en vous dis as que c’est inclus dans le prix c’est honteux comme pratique.
Sont incapable de conseiller les clients comme il faut et méprise les clients.
N’y allez pas",il y a 2 ans,"tim hortons where the employees make you pay extra and tell you that it's included in the price, it's a shameful practice
are incapable of properly advising customers and despise customers
do not go"
Sylvain Guerin,1 étoile,Je ne sais pas pour quoi mais les Tim Horton sont devenus minables.  Service lent et minable nourriture pas cher et mibable. Bref ils ce passes le mot pour être plus minable les uns que les autres. Moi je me suis découragé. Fini pour moi service de nulle,il y a 4 ans,"I don't know why but the Tim Horton's have become lousy, slow and lousy service, cheap and lousy food, in short, they're spreading the word to be lousier than each other, I'm discouraged, it's over for me, lousy service"
Talal Alqarni,2 étoiles,The bathroom you can't enter is so disgusting,il y a 6 mois,the bathroom you cant enter is so disgusting
Ahmed Chahboune,5 étoiles,"I loved the hot chocolate better than Starbucks  , nice staff",il y a 3 ans,i loved the hot chocolate better than starbucks   nice staff
Aaron Trueman,2 étoiles,"Waited around until 505 in the rain on 19 Aug and the guy inside still didn’t open. Gave up, went to mcds. Got a plane to catch.",il y a 10 mois,waited around until 505 in the rain on 19 aug and the guy inside still didnt open gave up went to mcds got a plane to catch
Willis Curtis,1 étoile,"Got sick thanks to the food here. Never will put my foot there ever again, thanks. Staff however was courteous  and nice tho. 2/10",il y a un an,got sick thanks to the food here never will put my foot there ever again thanks staff however was courteous  and nice tho 210
Marielle G,4 étoiles,J'aime bien cet endroit qui propose un large choix de boissons et d aliments même si on dépasse vite les apports quotidiens en calories. J'avais un très bon souvenir du chocolat glacé consommé régulièrement l été 2015. Hélas il n est plus proposé cette année mais le cappuccino glacé le remplace bien.,il y a 5 ans,I like this place which offers a wide choice of drinks and foods even if we quickly exceed the daily calorie intake I had very good memories of the frozen chocolate consumed regularly in the summer of 2015 unfortunately it is no longer offered this year but the iced cappuccino the replaces well
Shahram Shams,4 étoiles,"Tim Hortons in Canada offers a quintessential experience of Canadian coffee culture. Known for its signature coffee, fresh donuts, and hearty breakfast options, Tim Hortons provides a reliable and accessible choice for locals and tourists alike.",il y a 8 mois,tim hortons in canada offers a quintessential experience of canadian coffee culture known for its signature coffee fresh donuts and hearty breakfast options tim hortons provides a reliable and accessible choice for locals and tourists alike
Manish Kumar Jha,5 étoiles,"A common name in fast-food, Tim Horton are affordable and have incredibly fast service. If you feel some hunger, a Tim Horton around your next corner is always a great option. Or if you just want to grab a cup of coffee on the way to work.",il y a 5 ans,a common name in fastfood tim horton are affordable and have incredibly fast service if you feel some hunger a tim horton around your next corner is always a great option or if you just want to grab a cup of coffee on the way to work
Aya Rk,1 étoile,Le café est souvent donné froid à cette place.,il y a 7 mois,coffee is often given cold at this place
Jo-an Blanchet-Girard,2 étoiles,Le service était trop lent. De plus tout les sandwich déjeuner supposés être offert toute la journée mais le caissier à refusé de me le servir. C'etait le beyound the meat vegane que je voulais.C'est celui qui travaillait à 4h du matin le…,il y a 5 ans,"the service was too slow, plus all the lunch sandwiches were supposed to be offered all day but the cashier refused to serve it to me. It was the vegan meat that I wanted, it was the one who worked at 4 a.m. on"
Jonathan Lebel,1 étoile,"Bonjour,

Je voudrais signaler une plainte concernant le service exécrable que j'ai eu au…",il y a 3 ans,"Hello

I would like to report a complaint regarding the terrible service I received at"
Steven Leveque,3 étoiles,"Normalement je ne prends que le Tim Glacé chez eux, qui est bien réussi.
Là, je viens de prendre quartiers de pommes de terre et je me suis fait servir 5 ""frites"" à se battre",il y a un an,"normally I only take the frozen tim from them which is very successful
here I just took potato wedges and I was served 5 fries to fight"
Mathieu Primeau,1 étoile,"Staff manquant d'expérience, et service lent. Certains items à prix plus élevés que dans les autres Tim Horton (ex. petit café glacé est actuellement en spécial à 1$ dans les autres mais pas là... en tout cas, s'ils font le spécial, ils…",il y a 7 ans,staff lacking experience and slow service some items at higher prices than in the others tim horton ex small iced coffee is currently on special at 1 in the others but not there in any case if they do the special they
Charles Mackay,4 étoiles,"Très bien, mieux que la moyenne des Tim. Personnel courtois et souriant.
Bémol, la musique trop forte parfois. Ce n'est pas un club staffaire! On dirait que certains employés font jouer leur playlist de chansons métal ou vulgaires.…",il y a 8 mois,"very much better than the average tim courteous and smiling staff
downside the music is too loud sometimes it's not a staff club it seems that some employees play their playlist of metal or vulgar songs"
Alex-André Piché,5 étoiles,I ordered a Club A la Tim trio and a large Ice cap as I always do. They asked me if I wanted toasted. Yes!!! then he hands me an ice cap thats filled almost to the tip top of the cup. Insane !!! Then the guy turns around and asked me if I…,il y a 4 ans,i ordered a club a la tim trio and a large ice cap as i always do they asked me if i wanted toasted yes then he hands me an ice cap thats filled almost to the tip top of the cup insane  then the guy turns around and asked me if i
Arsène Brosseau-Thiffault,1 étoile,"Chaque fois que je vais à ce Tim, c'est une mauvaise expérience. Les employés ne parle que très minimalement français, ils font des erreurs dans les commandes et ils manque toujours de tout.",il y a 2 ans,every time I go to this tim it's a bad experience the employees only speak very minimal French they make mistakes in the orders and they always lack everything
Starla Stallings,5 étoiles,Good Coffee. The brownies and breakfast sandwiches were the best!,il y a 4 ans,good coffee the brownies and breakfast sandwiches were the best
Pierre Bouillon,2 étoiles,"Pas le meilleur TH pour la location , au 2/3 ouvert , ça pu l' itinérant",il y a 9 mois,not the best th for rental at 23 open it could have been roaming
Eric Pilote,1 étoile,"Ils n’aiment pas le français , si au moins leurs cafés ne goûtaient pas si mauvais, faut-il ajouter autant de sucre et de lait pour goûter quelques chose, J’appelle les vrais français à ne plus jamais acheter chez eux.",il y a 2 ans,they don't like French if at least their coffees didn't taste so bad you have to add as much sugar and milk to taste something I call on real French people to never buy from them again
Jessica Tourigny,3 étoiles,"Service  assez lent et ils ont fait une erreur dans ma commande. Au moins, il sen est rendu compte avang que je parte et il a réglé la situation rapidement.C'est assez propre et les employés semblent faire leur possible  mais trop de clients pour peu d'employés...",il y a 5 ans,pretty slow service and they made a mistake in my order at least he realized it before I left and he resolved the situation quickly it's quite clean and the employees seem to be doing their best but too many customers for few employees
Lynne Crevier,4 étoiles,Étant donné qu'il était tard ont à pas pus manger de tout. Bien mangés quand même.,il y a 10 mois,given that it was late we couldn't eat anything that was well eaten anyway
A V,1 étoile,"Le service est nul, j’ai demandé d’être servis en français et les filles derrière le comptoir se sont moqué de moi, elle parlaient en anglais entre elles comme si j’étais un extraterrestre. 0 respect envers les clients. 👎🏼…",il y a 2 ans,the service is lousy I asked to be served in French and the girls behind the counter made fun of me they spoke in English to each other as if I was an alien 0 respect for the customers
Sonia Bastien,2 étoiles,La caissière qui a prit ma commande était incapable de parler français.,il y a 8 mois,the cashier who took my order was incapable of speaking French
Jean-Luc Michaud,1 étoile,Le restaurant n’est encore pas ouvert passé l’heure d’ouverture.,il y a 7 mois,the restaurant is still not open after opening hours
Marilyn J,4 étoiles,"Nous avons déjeuné deux fois dans ce lieu. Nous sommes tombés sur une française au comptoir, super accueil et d'une grande sympathie. Nous avons bien mangé.",il y a 2 ans,"we had lunch twice in this place we came across a French woman at the counter, super welcoming and very friendly, we ate well"
RedFoster,4 étoiles,Have you tried the Tim Hortons breakfast wrap? I've had 2 now and they're really good. I think I'll probably have 1 more and never have it again. I recommend this location :),il y a 3 ans,have you tried the tim hortons breakfast wrap ive had 2 now and theyre really good i think ill probably have 1 more and never have it again i recommend this location
Anton Palamodov,1 étoile,"Very slow, staff barely knows English or French ,waited way too long just to get the wrong order even after repeating it several times.
Very dirty bathrooms.
The food was up to standards tho.",il y a 2 ans,"very slow staff barely knows english or french waited way too long just to get the wrong order even after repeating it several times
very dirty bathrooms
the food was up to standards tho"
Marie-helene Simard,3 étoiles,Service moyen. Ça fait quelques fois que j'y vais et il y a des erreurs sur ma commande et quand on essaie de leur dire ils sont occupés ailleurs.,il y a un an,average service I've been there a few times and there are errors on my order and when we try to tell them they are busy elsewhere
Pascale Pellemans,3 étoiles,Il faisait quand même chaud malgré qu'il aurait dû y avoir l'air climatisé. Le caissier s'est trompé 2 fois dans notre commande... Visite compliquée.,il y a 5 ans,it was still hot even though there should have been air conditioning the cashier made a mistake twice in our order complicated visit
HajYas App,5 étoiles,"Parmi mes Tims préférés. J'aime bien y aller après un cours, histoire de revoir mes notes de cours avec une boisson chaude. Le service est excellent à chaque fois que j'y vais.",il y a 4 ans,among my favorite tims i like to go there after a class just to review my course notes with a hot drink the service is excellent every time i go there
Ray Kyle,3 étoiles,The service is not so good at this location I'm not really sure if they know how to get their lineup for the cash register rights staff are a little bit slow.,il y a un an,the service is not so good at this location im not really sure if they know how to get their lineup for the cash register rights staff are a little bit slow
Natalie Siroklin,3 étoiles,"No latte for more than week! What?) It sounds like a joke but it’s not.
Please, do some efforts to have it)",il y a 10 mois,"no latte for more than week what it sounds like a joke but its not
please do some efforts to have it"
Christian Simard,4 étoiles,"Tres bon service avec sourire en Francais et en anglais. The missing star is for the whole chain who need to train their emplyee better on new tech. Specifically on using and helping customers with the Tim Card, the CIBC Tim Card and their very buģgy mobile app.",il y a 5 ans,tres bon service avec sourire en francais et en anglais the missing star is for the whole chain who need to train their emplyee better on new tech specifically on using and helping customers with the tim card the cibc tim card and their very buģgy mobile app
Alexe p,1 étoile,"J'ai commamder en français et a été servie en anglais. J'ai commander un muffin (il y en abais env. 8) et le temps que je sois servie, tous ceux de cette sorte on disparu pour une autre commande. Le café frappé etait 2 phases ( glace et saveur) donc mal mélangé.",il y a 5 ans,I ordered in French and was served in English I ordered a muffin there were about 8 of them and by the time I was served all those of this kind we disappeared for another order the smoothie was 2 phases ice and flavor so poorly mixed
ishak kokoc,5 étoiles,Nice and very friendly peoples are working,il y a 4 ans,nice and very friendly peoples are working
Anna Cinelli,1 étoile,You say 5 am. I came at 5:25 and it was closed. You wasted my time. You should fix your website,il y a 8 mois,you say 5 am i came at 525 and it was closed you wasted my time you should fix your website
Ben Fung,4 étoiles,Nice atmosphere and it has outside terrace.,il y a 7 ans,nice atmosphere and it has outside terrace
Damien Herwegh,1 étoile,That's just junk fast food. Even the coffee is not good,il y a un an,thats just junk fast food even the coffee is not good
EcKo Xking,5 étoiles,My cheeks were bout to explode and one of the employees let me use the restroom but the other made a weird face for wanting to use the rest room and then I got a peach quencher,il y a un an,my cheeks were bout to explode and one of the employees let me use the restroom but the other made a weird face for wanting to use the rest room and then i got a peach quencher
Local guide Guide,2 étoiles,Worst service i ve seen in a while,il y a 6 mois,worst service i ve seen in a while
salman ben,1 étoile,Service nulle la table de préparation et salle 0/10,il y a 10 mois,zero service the preparation table and room 010
Grace G,1 étoile,Horrible customer service.,il y a 2 mois,horrible customer service
Mouhamadou Diaw,1 étoile,"I will not  go back to THAT  specific place. The coffee was disgusting,  the employees  talking about other businesses unrelated to their  chores,  mixing  and forgetting the orders....",il y a un an,i will not  go back to that  specific place the coffee was disgusting  the employees  talking about other businesses unrelated to their  chores  mixing  and forgetting the orders
Steven Bjerke,3 étoiles,"Your average Tim Hortons, generally ok service and coffee. Small on the inside, with limited seating, given the prominence of the Quartier des Spectacles.",il y a 3 ans,your average tim hortons generally ok service and coffee small on the inside with limited seating given the prominence of the quartier des spectacles
Patrick Bissonnette,3 étoiles,Le service laissé à désirer vraiment pas fort sa prix 10 minutes pour me servir un café de plus il était 4 deriere le contoir pas fort le tous est à 16h30,il y a 5 ans,the service left to be desired really not strong its price 10 minutes to serve me a coffee plus it was 4 behind the counter not strong everyone is at 4:30 p.m.
Sam Totah (“montrealsam”),3 étoiles,Tim Hortons is Tim Hortons it will not change. Not soon. Continue to dine or coffee. Habit is not easy to break. Reliable and fairly priced.,il y a 4 ans,tim hortons is tim hortons it will not change not soon continue to dine or coffee habit is not easy to break reliable and fairly priced
David Lavoie,3 étoiles,"Équipe rapide et efficace pour le service mais pas assez grande pour pourvoir au nettoyage de l'endroit. Aucun blâme sur les employés présents, seulement sur la gestion mercantile??",il y a 7 ans,fast and efficient team for the service but not big enough to clean the place no blame on the employees present only on the mercantile management
D T,5 étoiles,"Helpful staff, quick service. What more do you need, really?",il y a 9 mois,helpful staff quick service what more do you need really
Daniel Rathe,5 étoiles,Tim Hortons typique.ambiance plaisante.facile d accès.metro Place Des Arts en biais du Complexe Desjardins.un excellent quartier celui des spectacles.,il y a 3 ans,typical tim hortons pleasant atmosphere easy access metro place des arts across from the desjardins complex an excellent entertainment district
Ronald Virtue,4 étoiles,The best places where I live what time my coffee I don't go to many other places but can Morton the service is great out of all the things I've been through and there's not too many that I didn't like I like them all most all,il y a 6 ans,the best places where i live what time my coffee i dont go to many other places but can morton the service is great out of all the things ive been through and theres not too many that i didnt like i like them all most all
Tibile Diabira,1 étoile,Un service a vomir je suis passé avec ume collègues on c'est fait mal traiter par un employé  d'origine indien très impoli cet employé  qui est frustré car il ne parle pas le français on est au Québec il doit y avoir des francophones…,il y a 4 ans,a service to vomit I passed with a colleague we were treated badly by an employee of Indian origin very rude this employee who is frustrated because he does not speak French we are in Quebec there must be French speakers
turaipo,4 étoiles,"Les Tim Horton c'est pas très bon, mais celui là je l'aime bien. Il est lumineux et le personnel fait de son mieux.",il y a 5 ans,"Tim Horton's is not very good but I like this one, it's bright and the staff does their best"
Abdelhak Fardjallah,4 étoiles,Aujourd'hui c'est le marathon international de Montréal. J'ai bien savouré mon café chez Tim Horton en regardant les coureurs qui passaient à quelques mètres de la ligne d'arrivée.,il y a 5 ans,Today is the Montreal International Marathon I enjoyed my coffee at Tim Horton's while watching the runners passing a few meters from the finish line
Ruben Alimasi,4 étoiles,"Employees stops everything well before the closing time. As of everything else, it's Tim Hortons. You like it or you don't.",il y a 3 ans,employees stops everything well before the closing time as of everything else its tim hortons you like it or you dont
Olivier Laporte,2 étoiles,Le service est souvent long et la majorité des employés ne parlent pas français et ont de la difficulté à comprendre ce que l'on veut.,il y a 2 ans,the service is often long and the majority of employees do not speak French and have difficulty understanding what we want
ME GG,4 étoiles,"Too many cashiers vs people making the sandwiches, you have to wait a good while, but it is clean.",il y a 2 ans,too many cashiers vs people making the sandwiches you have to wait a good while but it is clean
Michel Harvey,5 étoiles,Very convenient for a quick drink like coffee when you're ready to visit downtown main Street,il y a 2 ans,very convenient for a quick drink like coffee when youre ready to visit downtown main street
lv vl,5 étoiles,Good one,il y a 5 mois,good one
Nunzio Altomonte,5 étoiles,"Great Tim's good view and clean ,Coffee always up to Tim Horton standards , Donuts are always fresh , And they taste great , One of my Favorite Tim's in Montreal",il y a 7 ans,great tims good view and clean coffee always up to tim horton standards  donuts are always fresh  and they taste great  one of my favorite tims in montreal
Daniela Bruhin,1 étoile,The Time they must have open are not right really horrible if they write till 11pm and have not open anymore at 9:55pm. Not good and just annoying !!,il y a 2 ans,the time they must have open are not right really horrible if they write till 11pm and have not open anymore at 955pm not good and just annoying
Leslie Averhoff,5 étoiles,"Very nice service. Food and drinks even better.
It's my favorite place for take a break and relax.",il y a 6 ans,"very nice service food and drinks even better
its my favorite place for take a break and relax"
jessy mbuya,1 étoile,"Worst customer service ever. They never get my order right, doesn’t matter if I tell them in French or English and they are so rude.",il y a 4 ans,worst customer service ever they never get my order right doesnt matter if i tell them in french or english and they are so rude
Jim Dalberg,5 étoiles,Fast and good cup of coffee!,il y a 5 ans,fast and good cup of coffee
Jim Dymond,4 étoiles,Great place to stop by for a coffee  Easy to get to through the underground in bed whether located centrally downtown it's Tim hortons what else is there to say lol good coffee and treats or for a quick  Breakfast on the run is great,il y a 5 ans,great place to stop by for a coffee  easy to get to through the underground in bed whether located centrally downtown its tim hortons what else is there to say lol good coffee and treats or for a quick  breakfast on the run is great
J - F Rho,5 étoiles,"Je commence à etre un spécialiste de la commande à l'auto des ""TimHorton"" au Canada. Toujours chaud les cafés et c'est dur de rater un TimMatin.",il y a 2 ans,"I'm starting to be a specialist in ordering Timhorton's in Canada, the coffees are always hot and it's hard to miss a Timmorton"
Andrei Dicusara,1 étoile,"At 19:15 closed the door. At lockdown till 19:30.
Really?
I wait my wife at the hospital till 22:00
Very smart guys 👎👎👎…",il y a 3 ans,"at 1915 closed the door at lockdown till 1930
really
i wait my wife at the hospital till 2200
very smart guys"
Nassim Hamlat,1 étoile,"C’est vraiment bordélique, on m’a donné la commande de quelqu’un d’autre, pire service",il y a un an,"It’s really messy I was given someone else’s order, worse service"
Raynaldo Joseph,1 étoile,Came in to use the washroom and the employee by the name of Kiran told me in order for me to use the washroom I need to buy something because she said I know what you people do in the bathroom and we are in 2019 racism still exists.,il y a 5 ans,came in to use the washroom and the employee by the name of kiran told me in order for me to use the washroom i need to buy something because she said i know what you people do in the bathroom and we are in 2019 racism still exists
Patrick Lortie,1 étoile,Extremely disorganized. Wouldn't honor the prices that were displayed!! Poor girl at the cash tried to help but NONE of her co-workers would lend her a hand. Place was filthy also.,il y a 6 ans,extremely disorganized wouldnt honor the prices that were displayed poor girl at the cash tried to help but none of her coworkers would lend her a hand place was filthy also
Chntl P,3 étoiles,C est du Tim un gros bémol a ce Tim personne ne parle le francais c est inacceptable au Québec!,il y a un an,"It's Tim, a big downside to this Tim, no one speaks French, it's unacceptable in Quebec"
Nic Q,3 étoiles,Service is decent but young staff easily overwhelmed by just a few orders...,il y a 4 ans,service is decent but young staff easily overwhelmed by just a few orders
praveen george,1 étoile,"Cinnamon bun,  it maybe one month old,   and ordered coffee 2C3S  but i got  3 creem only  lost money",il y a 2 ans,cinnamon bun  it maybe one month old   and ordered coffee 2c3s  but i got  3 creem only  lost money
Karima Lemire,1 étoile,"Mauvais service, les employés ne parlent pas français. Mon café glacé ne goûtait même pas le café …",il y a 2 ans,bad service the employees don't speak French my iced coffee didn't even taste like coffee
Xavier C,4 étoiles,"Personnel sympathique mais ne parle pas bien français, obligé de parler anglais une fois sur deux",il y a 2 ans,"friendly staff but don't speak French well, forced to speak English every other time"
Erman Erzurumluoglu,1 étoile,It was a nightmare to have them understand my custom order and they overcharged me by mistake.,il y a 2 ans,it was a nightmare to have them understand my custom order and they overcharged me by mistake
Fixy Pash,5 étoiles,People are nice! And efficent. Am a regular and i always get my drink on cash. Cute gurls,il y a 5 ans,people are nice and efficent am a regular and i always get my drink on cash cute gurls
Sunil Balgobin Realtor,4 étoiles,Gotta love Tim's.....even when in Montreal...Coffee is always nice....and so is everything else.,il y a 2 ans,gotta love timseven when in montrealcoffee is always niceand so is everything else
Si Mon,5 étoiles,"""Comfortable-welcome feeling"" n employees were friendly n helpful...nice location with a wonderful street view.",il y a 5 ans,comfortablewelcome feeling n employees were friendly n helpfulnice location with a wonderful street view
Max Dagbert,2 étoiles,"Très moyen
Service rapide mais personnel non aimable et salle très sale",il y a 4 ans,"very average
fast service but unfriendly staff and very dirty room"
f perso,1 étoile,Le service gravement nul je vous déconseille de y’aller,il y a un an,"the service is seriously lousy, I advise you not to go there"
The Unknown,3 étoiles,Le staff n'est pas très accueillants mais c'est quand même propre.,il y a 3 ans,the staff is not very welcoming but it is still clean
Alex berker,4 étoiles,"Clean, fast service. Staff a bit inexperienced but otherwise just another Tim Hortons with nothing to set it apart.",il y a 7 ans,clean fast service staff a bit inexperienced but otherwise just another tim hortons with nothing to set it apart
Adam Linekar,5 étoiles,All Tim Hortons I visited in Montreal were brilliant.,il y a un an,all tim hortons i visited in montreal were brilliant
Ivan Jonas Mollinedo Arteaga,5 étoiles,"Les boissons sucrées y sont vraiment satisfaisante en parlant du cappuccino glacée, le Tim glacé, et le givré crémeux aux fraises.",il y a 4 ans,"the sweet drinks are really satisfying, speaking of the iced cappuccino, the iced tim and the creamy strawberry frosty"
Ali Chiguer,5 étoiles,Lieu propre et le café est bon.de l'intérieur une belle vue sur la rue. Il y a aussi une terrasse.,il y a 5 ans,clean place and the cafe is crowded inside a beautiful view of the street there is also a terrace
thomas catineau,1 étoile,Même un « bonjour » en français ça leur écorcherait la langue.,il y a 11 mois,even a hello in French would scratch their tongue
Alex Ian Lessard,4 étoiles,"Un bon service, des plats classiques et pas cher! Il faut en profiter !",il y a 2 ans,"good service, classic dishes and not expensive, you have to take advantage of it"
Michael Paradis,2 étoiles,Dommage je parle surtout du matin le service est long les deux étoiles donner sont pour les employer.,il y a 5 ans,too bad I'm talking especially about the morning the service is long the two stars given are for using them
Hermann Rorschach,3 étoiles,Very dirty toilet,il y a 2 ans,very dirty toilet
Ricardo Rodrigues Marcelino dos Santos,5 étoiles,Nice place with a lot of in the menu.,il y a 6 ans,nice place with a lot of in the menu
Dongala mbemba,1 étoile,Service pourri; ne parlent pas UN SEUL MOT de français!!!  3 employés  présents incapables de ni de comprendre ni de parler...,il y a 2 ans,rotten service do not speak a single word of French 3 employees present unable to understand or speak
Alex Tikaram,4 étoiles,Great spot for Tim's sit and enjoy the cool night sky with a warm cup of coffee,il y a 2 ans,great spot for tims sit and enjoy the cool night sky with a warm cup of coffee
