Reviewer Name,Rating,Review,Date,Review_english,Sentiment
Yannick Santos,,Bonjour je peux avoir une vanille française? Answer: I’m sorry what? French vanilla? Is this Ontario? ??,il y a un an,hello can i have a french vanilla answer im sorry what french vanilla is this ontario,Negative
Vaughan Cooke,4,Best for late night bakery needs! One for the next stocked locations in terms of baked goods.,il y a 7 ans,best for late night bakery needs one for the next stocked locations in terms of baked goods,Negative
Julie,,Very dirty. Tables are not clean. My brioche was stale. Worst Tim Hortons I've been in.,il y a 5 ans,very dirty tables are not clean my brioche was stale worst tim hortons ive been in,Negative
Marku Ax,5,Not all TimHortons are the same... this one in Place des Arts: ruuuuuuules! 🤟🤟🤟…,il y a un an,not all timhortons are the same this one in place des arts ruuuuuuules,Negative
at dk,2,Service en anglais pas de service en français en plein centre ville de Montréal,il y a un an,service in English no service in French in the city center of Montreal,Negative
Noémie Bradette,,J'ai eu un très mauvais service comparé aux autres Tim Horton. Je ne recommande pas.,il y a 4 ans,I had very bad service compared to other Tim Hortons I do not recommend,Negative
Jonathan Cloutier,4,Super bien et bien situé mais si ont veux travailler avec un ordinateur.  Il y a aucune prise de courant.,il y a 6 ans,super good and well located but if you want to work with a computer there is no power outlet,Negative
Marc-Antoine Guindon,,Très difficile de se faire servir en français,il y a 9 mois,very difficult to be served in French,Negative
Joël Charbonneau,,"Toilettes, plancher et tables tellement sales. Limite insalubre comme endroit. En plus d’un service en anglais.... que dire de plus!",il y a 4 ans,toilets floor and tables so dirty bordering on unsanitary as a place in addition to service in English what more can I say,Negative
Benoit Rail,,"J'aime pas la façon que la marchandise es placer...
Le top pour moi ...c'est celui de lachenaie.",il y a 2 ans,"I don't like the way the merchandise is placed
the best for me is that of lachenaie",Negative
mel st j,2,Service très long la caissière est a la caisse et regarde les client sans les servir et du mal a avoir un service en français,il y a 2 ans,very long service the cashier is at the checkout looking at the customers without serving them and struggling to get service in French,Negative
Michael Ponari,5,Very great service wow !!!!!!!! every morning I go and get my coffee.,il y a 2 ans,very great service wow  every morning i go and get my coffee,Positive
Frank Parrott,5,Finally got a chance to visit a Tim Hortons!,il y a 7 ans,finally got a chance to visit a tim hortons,Positive
Nicolas Bastien,,"Employé à la caisse bête avec un ton de mépris, aucun service à la clientèle, nourriture encore froide...",il y a 3 ans,stupid cashier employee with a tone of contempt no customer service food still cold,Negative
Sihan Zeng (Jacky),,"19:40 Said close today , but I saw Google map is 20:30 , bad experience and the employees are lazy",il y a 2 ans,1940 said close today  but i saw google map is 2030  bad experience and the employees are lazy,Negative
Akansh Nair,5,Very nice service by the staff and even nicely trained. Great job by the team,il y a 4 ans,very nice service by the staff and even nicely trained great job by the team,Positive
Oscar Aldana,4,Mñeeeh,il y a 2 mois,meeeeh,Negative
Gan S,4,"Spacious, next to Metro entrance but sometime we need patience as they are Slow in Process.",il y a 7 ans,spacious next to metro entrance but sometime we need patience as they are slow in process,Negative
Marie O,4,"WiFi could be better. Choose the combo meals, they have the best value!",il y a 7 ans,wifi could be better choose the combo meals they have the best value,Negative
Louis-Philippe Samson,3,Fairly fresh donuts late at night. Like the other guy there is still multiple dirty tables.,il y a 8 ans,fairly fresh donuts late at night like the other guy there is still multiple dirty tables,Positive
Jaime Antonio Guerra,2,Watch out they always mix the orders no cheese they still put cheese etc.etc...,il y a 2 ans,watch out they always mix the orders no cheese they still put cheese etcetc,Negative
Mo Cons,4,"Good service, decent fast food and hot drinks.",il y a 4 ans,good service decent fast food and hot drinks,Positive
B Cameron,5,"Fastest coffee slingers in Canada at this time establishment! Well organized, efficient",il y a 5 ans,fastest coffee slingers in canada at this time establishment well organized efficient,Positive
Luis Jibaja Segura,,Not well organized. And the place is extremely hot inside.,il y a 2 ans,not well organized and the place is extremely hot inside,Negative
Christ H,4,The best breakfast I could have each and every time I come to Montreal !,il y a 2 ans,the best breakfast i could have each and every time i come to montreal,Positive
Gemechu Fanta Garuma,5,My favorite coffee place. Good service with clean indoor chairs and tables.,il y a 6 ans,my favorite coffee place good service with clean indoor chairs and tables,Positive
Patricia Aylwin,2,Ligne d'attente interminable le matin.  Le service manque souvent de coordination et de rapidité.,il y a 7 ans,endless waiting line in the morning the service often lacks coordination and speed,Negative
Luc Trépanier,4,"Bon petit repas, pas très cher!",il y a un an,good little meal not very expensive,Negative
Adam,4,The hot chocolate was so delicious with the Timbits!!,il y a un an,the hot chocolate was so delicious with the timbits,Positive
David Tremblay,3,Service can be lacking and the Tim's coffee is better at other Tim Hortons,il y a 7 ans,service can be lacking and the tims coffee is better at other tim hortons,Negative
ketsia Marie Edouard JEAN-CHARLES,3,C'est correct mais ils se melangent des fois dans les commandes,il y a 5 ans,it's correct but they sometimes get mixed up in the orders,Negative
Grégoire Lamarche Ledoux,,Supposed to be opened until 11 but it's closed,il y a un an,supposed to be opened until 11 but its closed,Negative
Mohannad Al-Khatib,5,Nice and fast if you're into their food and drinks,il y a 8 ans,nice and fast if youre into their food and drinks,Positive
Shawndeep Gill,2,I went Twice and the coffee has been  cold and too watery. Also very messy.,il y a 7 ans,i went twice and the coffee has been  cold and too watery also very messy,Negative
Alan,,"Toilettes rarement nettoyées, savon pas remplacé non plus",il y a 2 ans,toilets rarely cleaned soap not replaced either,Negative
S Genereux,4,La manière donc est faite cette succursale fait que le service est efficace et ordonnée.,il y a 3 ans,the way this branch is done makes the service efficient and orderly,Positive
Jeremy P (je1992),4,Despite constant lines of customers they are fast and nice.,il y a 6 ans,despite constant lines of customers they are fast and nice,Positive
Jérémie Bellard,5,All the staff is very friendly and service is quick and efficient,il y a 4 ans,all the staff is very friendly and service is quick and efficient,Positive
Josip Klišmanić,4,Nice. The guy didn't know what espresso macchiato is so he gave me cafe latte.,il y a 5 ans,nice the guy didnt know what espresso macchiato is so he gave me cafe latte,Negative
morgane ravasi,4,Team rapide et organisé manque simplement des bagel tomates seché et du chili ahah,il y a 6 ans,"fast and organized team just missing some bagels, dried tomatoes and chili ahah",Negative
deep maan,,Some staff members are good but some of them really really really have bad attitude.  Edwin in one of them. 👎…,il y a 4 ans,some staff members are good but some of them really really really have bad attitude  edwin in one of them,Negative
Patrick Provencher,2,"Great place for free internet, almost no donuts late evening and night",il y a 6 ans,great place for free internet almost no donuts late evening and night,Positive
Tatiana Tanizaki,4,"Always fresh, normal service. Nothing outstanding. Meets the expectations.",il y a 8 ans,always fresh normal service nothing outstanding meets the expectations,Negative
Safia Sanhaji,,"Really rude, bad service.",il y a 10 mois,really rude bad service,Negative
Frank Villarreal,3,Don't like their organization of orders. Reps should be bilingual but they were not.,il y a 7 ans,dont like their organization of orders reps should be bilingual but they were not,Negative
B,,"worst service, and just depressing to look at the staff",il y a un an,worst service and just depressing to look at the staff,Negative
Wad Btrs,3,Better than others TH branches.,il y a un an,better than others th branches,Positive
Melina Gerbert,5,"My every day morning stop, great efficient service:)",il y a 6 ans,my every day morning stop great efficient service,Positive
Jean Rico,,"Tim 5:20 AM, toujours ferme. Service lent",il y a 2 ans,tim 520 am always closed slow service,Negative
Amanda Santos,,C’est long et les employés impolis. TRÈS LONG!!!!!!!!!! Je ne reviens plus.,il y a 4 ans,it's long and the rude employees very long I won't come back,Negative
Ed Pro,5,Good staff. Very fast service and clean,il y a 6 ans,good staff very fast service and clean,Positive
Walker Langley,4,Croissants better than Burger King and donuts better than Dunkin Donuts.,il y a 8 ans,croissants better than burger king and donuts better than dunkin donuts,Positive
Mr. SnowChrist,4,Service plutôt anglophone mais excellent,il y a 2 ans,rather English-speaking service but excellent,Positive
Benoit Theberge,3,Oubli sur les items de ma commande et pas de gel à l'entrée pour les mains.,il y a 2 ans,forgotten about the items in my order and no hand gel at the entrance,Negative
Aaron Odedra,3,"Pretty average food, average price. Nothing to exceptional.",il y a 5 ans,pretty average food average price nothing to exceptional,Negative
Claudia Medina,5,"Service au volant,service rapide et courtois, produits frais, terrasse, propre",il y a 5 ans,drive-thru service fast and courteous service fresh products clean terrace,Positive
Fixy Pash,5,The Staff is lit! Good vybe and fast coffee!!!,il y a 5 ans,the staff is lit good vybe and fast coffee,Positive
Dionnisios Xenos,4,"Great coffee and food, sitting space a little limited.",il y a 7 ans,great coffee and food sitting space a little limited,Negative
Dominic Matte,3,Pas super comme service. Trop de clients,il y a 8 ans,not great service too many customers,Negative
muzikath22,,Impossible de se faire servir en français et très peu de choix de beignes...,il y a 3 ans,impossible to be served in French and very little choice of donuts,Negative
Martin Gelgoot,3,"An unremarkable Tim Horton, not better nor worse than the thousand other ones!...",il y a 7 ans,an unremarkable tim horton not better nor worse than the thousand other ones,Negative
Deep Kumar,4,"Nice and fast service,
Excellent staff...",il y a 5 ans,"nice and fast service
excellent staff",Positive
Tony Lim,5,"One of the better Tim Hortons, the staff are actually nice",il y a 6 ans,one of the better tim hortons the staff are actually nice,Positive
Amritansh Mishra,4,Quick service . Well stacked but low on cleanliness.,il y a 7 ans,quick service  well stacked but low on cleanliness,Negative
Mehdi Aoussamte,3,"Un peu sale pour ce que sa représente, du papier au sol , table pas essuyé",il y a 6 ans,a little dirty for what it represents paper on the floor table not wiped,Negative
Tristan Nivol,4,Idéal avant le travail avec une attente convenable et proche de la sortie de métro,il y a 7 ans,ideal before work with a decent wait and close to the metro exit,Positive
Sekhmet Design (SekhmetDesign),4,"super fast service, especially in the morning! <3",il y a 7 ans,super fast service especially in the morning 3,Positive
shalin makhecha,5,"They do follow ""Always Fresh"" benchmark...!!!
Impressive..!!!!",il y a 4 ans,"they do follow always fresh benchmark
impressive",Positive
Sheila Ferrando,4,Convenient hot coffee. Cute Reindeer donut.,il y a 4 ans,convenient hot coffee cute reindeer donut,Positive
MAD - Make A Difference,,Order wasn't ready 20 minutes after I ordered it,il y a 3 ans,order wasnt ready 20 minutes after i ordered it,Negative
Rosa A. Ardon,5,I was at the at the Airport,il y a 3 mois,i was at the at the airport,Negative
Krisla Percefoni Hernandez Mendez (Percy),5,My coffee time,il y a un an,my coffee time,Positive
Ray S (Trueray17),4,Great service and speak both French and English.,il y a 7 ans,great service and speak both french and english,Positive
Maude Lavoie,2,Pire Tim du centre-ville.,il y a 2 ans,worst downtown tim,Negative
Serge B,3,correct - un peu cher - café pas terrible,il y a 7 ans,ok a little expensive coffee not great,Negative
Shahzad Gidwani,3,A regular Tim Hortons. Not very clean.,il y a 2 ans,a regular tim hortons not very clean,Negative
Mayou Nicorn,,Aucun employé sait parler Français. Déprimant.,il y a 2 ans,no employee knows how to speak French depressing,Negative
Vanshik Sood,4,Good restaurant and helpful staff,il y a 2 ans,good restaurant and helpful staff,Positive
Bojan Samardzic,3,"Always crowded and little bit unorganized, but ok..",il y a 8 ans,always crowded and little bit unorganized but ok,Positive
lifeonearth145,5,Quick service and friendly staff.,il y a 5 ans,quick service and friendly staff,Positive
Daniel Pereira,2,OK unprofessional workers having a argument in front of customers.,il y a 7 ans,ok unprofessional workers having a argument in front of customers,Negative
Matt Banks,4,"Standard Tim's, quick service in the mornings.",il y a 7 ans,standard tims quick service in the mornings,Positive
Jean-Christophe Côté,3,"Très, très difficile de se faire servir en français.",il y a 4 ans,very very difficult to be served in French,Negative
Alyssa D,5,Tell Osama he's cute 😬…,il y a 4 ans,tell osama hes cute,Positive
Earth Graduate,,"So dirty , , i will never go back there !",il y a 4 ans,so dirty   i will never go back there,Negative
Jean Lorain,3,Un envie de sucre et d'un bon café ☕ 😋…,il y a 4 ans,a craving for sugar and a good coffee,Positive
Michèle Sénécal,2,Incapacité à se faire servir en français.,il y a 2 ans,inability to be served in French,Negative
WINDSHELL 10.25,3,Fun place to hang out for coffee.,il y a 5 ans,fun place to hang out for coffee,Positive
AHMED MTG,4,My favorite coffe is at Tim hirtins,il y a 6 ans,my favorite coffe is at tim hirtins,Positive
Mind's Eye Creative,3,Staff was very grumpy,il y a un an,staff was very grumpy,Negative
Ol Lis,5,"Nice place, great coffee!",il y a 4 ans,nice place great coffee,Positive
Stephane Boisvert,5,"Excellent, fast service in the mornings",il y a 6 ans,excellent fast service in the mornings,Positive
Alain Desroches,3,The line up is terribly organized,il y a 7 ans,the line up is terribly organized,Negative
jack mey,4,La chaîne canadienne de café avec ses beignes pas cher,il y a 5 ans,the Canadian coffee chain with its cheap donuts,Negative
Nikolas Marcoux,4,Bon service et rapide.,il y a 4 ans,good service and fast,Positive
Mahmoud Gadalla,4,Nice .. it could be empty sometimes,il y a 6 ans,nice  it could be empty sometimes,Positive
Léa 'SmXfr',4,Bon Tim dans le centre de la ville,il y a 7 ans,good tim in the center of the city,Positive
Galarneau Benjamin,3,Service un peu lent,il y a 5 ans,service a bit slow,Negative
Paola Fumero,5,"Good place to chat, good food",il y a 5 ans,good place to chat good food,Positive
James Mailloux,5,Close to home friendly and they speak english,il y a 5 ans,close to home friendly and they speak english,Positive
Christian Sasseville,5,Usually fast and nice service,il y a 7 ans,usually fast and nice service,Positive
lazola makhupula,5,Great place to hang out,il y a un an,great place to hang out,Positive
Han,,Always lost order,il y a un an,always lost order,Negative
Taha Mussa,5,Canadian loved cofr house,il y a 4 ans,canadian loved cofr house,Positive
Sylvie Trudeau,3,Très bon services,il y a 2 ans,very good service,Positive
Soraya Redjem,3,Correcte rien à reprocher,il y a 4 ans,correct nothing to complain about,Positive
Howard Shinder,3,"It's Tim Hortons, nothing special nothing terrible",il y a 6 ans,its tim hortons nothing special nothing terrible,Negative
Eric Thibault,5,Excellent service.,il y a un an,excellent service,Positive
Pedro Ivo Machado,4,J'aime les donuts ici,il y a 7 ans,I like the donuts here,Positive
Michel Dumont,5,Bonne place pour relaxer,il y a 5 ans,good place to relax,Positive
Natasha Cloutier,5,Tout ce que l'on s'attend d'un Tim Horton.,il y a 6 ans,everything you expect from a tim horton,Positive
Diane Labelle,5,Bon café!,il y a 8 ans,good coffee,Positive
Marwen Fatmi,2,i will never come back again.,il y a 6 ans,i will never come back again,Negative
Juliana Funck,2,"Cheap Starbucks attempt, low quality.",il y a 4 ans,cheap starbucks attempt low quality,Negative
Jean-Francois Labrosse,4,service was wierd but its downtown,il y a 7 ans,service was wierd but its downtown,Negative
Karl DJ,,I dont like Tims,il y a 6 ans,i dont like tims,Negative
Happy Life vlogs,5,My breakfast point most of the days,il y a 3 ans,my breakfast point most of the days,Positive
Philippe Voyer,3,Service tres lent,il y a 4 ans,service three slow,Negative
Farmer Joe,5,Quick Tim Hortons near the border.,il y a 6 ans,quick tim hortons near the border,Positive
Byby Daniel,4,nice service and nice staff,il y a 5 ans,nice service and nice staff,Positive
Michel Handfield,5,Rapide et près des centres culturels,il y a 7 ans,fast and close to cultural centers,Positive
Kim Mallette,3,Not so great food,il y a 6 ans,not so great food,Negative
M SI,5,Nice but need to improve,il y a 6 ans,nice but need to improve,Negative
Mathieu Gregoire,3,Classique café,il y a un an,classic coffee,Positive
Eduardo Ramirez,5,Great food and beverages,il y a un an,great food and beverages,Positive
Sutej,5,Excellent customer service,il y a 3 ans,excellent customer service,Positive
Jay Ruiz,3,Alright with friends or to have a 15min break,il y a 7 ans,alright with friends or to have a 15min break,Positive
Jaidev De,4,Good food,il y a 4 ans,good food,Positive
Nasa Rouf,5,Always great donuts,il y a 6 ans,always great donuts,Positive
Maxime Brunet,4,C'est un Tim comme les autres !,il y a 6 ans,he's a tim like the others,Positive
Elizabeth Magaña Lima,4,Much improved,il y a un an,much improved,Positive
Maël Charbonneau,2,"Pas de sandwich la nuit, déçu",il y a 5 ans,no sandwich at night disappointed,Negative
A.G. TEVANYAN TRANSPORT,5,It's ok,il y a 5 ans,its ok,Positive
Jonathan Tremblay,2,Très sale comme lieu.,il y a 6 ans,very dirty place,Negative
Jesús Franco,4,Good menu,il y a 7 ans,good menu,Positive
Laurette Jullien,5,I love Tim Hortons!,il y a 5 ans,i love tim hortons,Positive
Patrick Moroz,5,My addiction it's great,il y a 6 ans,my addiction its great,Negative
diane bilodeau,,Parle pas français,il y a 2 ans,do not speak French,Negative
Christyne Placet,3,Pas  grosse  quantité,il y a 4 ans,not big quantity,Negative
Jonny Charlebois,4,above average service,il y a 5 ans,above average service,Positive
Issam Ben,3,Comme  toujours parfait,il y a 6 ans,as always perfect,Positive
Samuel Lando,3,Great place to study,il y a 7 ans,great place to study,Positive
Milton Raposo,4,Coozy place to drink coffe,il y a 6 ans,coozy place to drink coffe,Positive
Sebastien Clermont,,Pourri !!,il y a 2 ans,rotten,Negative
tanguy jegou,4,Satisfait par le service.,il y a 6 ans,satisfied with the service,Positive
Eric Pignedoli,4,Bien!,il y a 8 ans,GOOD,Positive
Raymond Woo,5,Fast service,il y a un an,fast service,Positive
Cristina Roldan,5,Super friendly!,il y a 3 ans,super friendly,Positive
Gabrielle Denoncourt,5,Super rapide!,il y a 4 ans,super fast,Positive
Aisha a,4,Yummy!,il y a 7 ans,yummy,Positive
Dhaou Ennaceur,5,Excellent service :),il y a 8 ans,excellent service,Positive
Jesus Hdz,5,Tasty!,il y a 6 ans,tasty,Positive
Amitoj Singh,5,Excellent,il y a 2 ans,excellent,Positive
Srishti Sharma,4,Always best!!🔥…,il y a 4 ans,always best,Positive
jake banner,5,good as usual.,il y a 4 ans,good as usual,Positive
Nicolas Paquette,5,Bon,il y a 6 ans,bon,Positive
Derrick Parent,3,Just another Tims,il y a 7 ans,just another tims,Negative
Nassira Ben,3,Oui8,il y a 3 ans,oui8,Negative
Junior Djimeffo,4,😉…,il y a un an,,Neutral
marc boucher,4,Service rapide,il y a 7 ans,fast service,Positive
Marianne Lafrance,4,Un Tim comme les autres.,il y a 7 ans,a tim like the others,Positive
I A,5,Tasty coffee and sandwiches,il y a 4 ans,tasty coffee and sandwiches,Positive
Mody Canada,5,Thx,il y a 5 ans,thx,Positive
Celine Chen,4,Nice and warm,il y a 5 ans,nice and warm,Positive
Javesh ashok Bhutani,5,Good,il y a 4 ans,good,Positive
HITESH PURI,5,Nice,il y a 5 ans,nice,Positive
Jason Carpentier,3,Correct,il y a 5 ans,correct,Positive
Josian Chedumbrum,5,Great food,il y a 4 ans,great food,Positive
Therese Marois,,Mal servie,il y a 5 ans,poorly served,Negative
Hem Raj Regmi,5,Awesome,il y a 6 ans,awesome,Positive
Sylvain Dagenais,4,Un bon café,il y a 4 ans,a good coffee,Positive
Annick Michaudville,3,Endroit Ok,il y a 4 ans,ok place,Positive
François Lauzon,5,Sup,il y a 5 ans,sup,Negative
slimane abderrahmani,5,Magnifique,il y a un an,Magnificent,Positive
tyler windecker,2,Not what it used to be.,il y a 6 ans,not what it used to be,Negative
Aboud Bahini,4,Like,il y a 7 ans,like,Positive
Madjid Oulmahdi,5,Great place,il y a 8 ans,great place,Positive
Jennifer Perkins,4,Coffee and bagel,il y a 6 ans,coffee and bagel,Positive
vinod kumar,5,Testy food,il y a 3 ans,testy food,Positive
Mohammad Awais Shahid,5,everything on point,il y a 6 ans,everything on point,Positive
M G,,Crappy coffee,il y a 5 ans,crappy coffee,Negative
Mr Cristiano,5,Forgetaboutit,il y a 5 ans,forgetaboutit,Negative
Joelle Bachand,4,Service rapide,il y a 7 ans,fast service,Positive
H Shooli,4,Good,il y a 5 ans,good,Positive
Karson Wong,3,Good,il y a 7 ans,good,Positive
Emilio Jimenez,,"C'est la première expérience dans cet établissement (1508 rue de Bleury, Montréal). Le traitement épouvantable du personnel, même en leur parlant en anglais et en leur disant que vous ne les compreniez pas, n'a pas facilité la…",il y a 11 mois,This is the first experience in this establishment 1508 rue de bleury montreal the terrible treatment of the staff even speaking to them in English and telling them that you did not understand them did not make it easier,Negative
Pepewicho Sanchez,5,"Ouvert 24h/24, très pratique pour moi, à mon arrivée je peux prendre un bon café chaud, ou du chocolat, j'ai aimé la nourriture, le service de nuit, le jeune homme au turban est très sympathique, il prend bien soin de toi, je je suis content du service",il y a un an,open 24 hours a day very convenient for me when I arrive I can have a good hot coffee or chocolate I liked the food the night service the young man in the turban is very friendly he takes good care of you I am happy with the service,Positive
Janynne Mattos (janesmatter),4,"J'ai pris un chocolat chaud et j'ai mangé un bonbon dont j'ai oublié le nom, mais c'était du chocolat, ça ressemblait à un beignet. L'endroit lui-même pourrait être plus propre. Mais le service est bon. Le magasin est à côté de la station de métro.",il y a 4 ans,I had a hot chocolate and I ate a candy whose name I forgot but it was chocolate it looked like a donut the place itself could be cleaner but the service is good the store is next to the metro station,Positive
Tobias Hofmann,5,"Même si Barney s'est plaint dans How I Met Your Mother, j'ai vraiment aimé ça. Et la vue depuis la fenêtre était très chaleureuse, du moins avec ce magasin et des températures de -20°C.",il y a 6 ans,even though barney complained in how i met your mother i really liked it and the view from the window was very warm at least with this store and temperatures of 20c,Positive
Beatriz Trejo Treviño,5,"Il a toujours pensé qu'il n'y avait pas de meilleur endroit pour déguster du bon pain, une glace ou un délicieux café... et à un excellent prix... et il y en a beaucoup et 24 heures sur 24... super...",il y a 4 ans,"he always thought that there was no better place to enjoy good bread, ice cream or delicious coffee and at an excellent price and there are plenty of them and 24 hours a day great",Positive
fernando hernández,4,"Ce n'est pas chez vous si vous aimez le café fort, sinon bonne ambiance et service",il y a 6 ans,this is not your place if you like strong coffee otherwise good atmosphere and service,Negative
Luis Felipe Gonzalez Ramirez,4,"Le café est délicieux, les bagels aussi",il y a un an,the coffee is delicious the bagels too,Positive
Angel Eduardo Porras,5,"Avant d'aller travailler, un café et un pain au chocolat, super !!!",il y a 6 ans,before going to work a coffee and a great pain au chocolat,Negative
Larisa Denisenko,5,J'adore la vanille française ici,il y a 11 mois,I love the French vanilla here,Positive
Evgheni Savinov,5,Ce n'est pas un mauvais endroit en centre-ville.,il y a 5 ans,it's not a bad place in the city center,Positive
Argelia Juárez,4,Acceptable,il y a 9 mois,acceptable,Positive
Chaly VG,4,Leurs pains sont très délicieux.,il y a 4 ans,their breads are very delicious,Positive
Massoterapia Com Resultados,3,Plus ou moins.,il y a un an,more or less,Negative
susejal,3,Ils ne nettoient pas fréquemment les salles de bains.,il y a 5 ans,they don't clean the bathrooms frequently,Negative
Cynthia Martinez,4,Café délicieux,il y a 2 ans,delicious coffee,Positive
percy mejia rodriguez,5,Confortable,il y a 3 ans,confortable,Negative
